---
folder: Phase 2 (8 weeks)
---


## Push
A. Incline Barbell Bench Press, 3 sets, 4-6 reps, 3:00 rest
B. Dumbbell Bench Press, 3 sets, 4-6 reps, 3:00 rest
C. Incline Dumbbell Bench Press, 3 sets, 4-6 reps, 3:00 rest
D. Skullcrusher, 3 sets, 6-8 reps, 3:00 rest


## Pull
A. Barbell Deadlift, 3 sets, 4-6 reps, 3:00 rest
B. Seated Cable Row (Wide), 3 sets, 4-6 reps, 3:00 rest
C. Chin-up, 3 sets, 4-6 reps, 3:00 rest
D. Barbell Curl, 3 sets, 6-8 reps, 3:00 rest


## Upper
A. Arnold Dumbbell Press, 3 sets, 4-6 reps, 3:00 rest
B. One-Arm Dumbbell Row, 3 sets, 4-6 reps, 3:00 rest
C. Dip, 3 sets, 4-6 reps, 3:00 rest
D. Dumbbell Side Lateral Raise, 3 sets, 6-8 reps, 3:00 rest


## Legs
A. Barbell Squat, 3 sets, 4-6 reps, 3:00 rest
B. Romanian Deadlift, 3 sets, 4-6 reps, 3:00 rest
C. Barbell Front Squat, 3 sets, 4-6 reps, 3:00 rest
D. Dumbbell Bulgarian Split Squat, 3 sets, 6-8 reps, 3:00 rest
