---
folder: Phase 3 (weeks 19-26)
---


## Push
A. Dumbbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
B. Incline Barbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
C. Barbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
D. Seated Triceps Press, 3 sets, 6–8 reps, 3:00 rest


## Pull
A. Barbell Deadlift, 3 sets, 4–6 reps, 3:00 rest
B. Barbell Row, 3 sets, 4–6 reps, 3:00 rest
C. Pull-up, 3 sets, 4–6 reps, 3:00 rest
D. Dumbbell Hammer Curl, 3 sets, 6–8 reps, 3:00 rest


## Upper
A. Seated Dumbbell Press, 3 sets, 4–6 reps, 3:00 rest
B. Seated Cable Row (Wide-Grip), 3 sets, 4–6 reps, 3:00 rest
C. Close-Grip Bench Press, 3 sets, 4–6 reps, 3:00 rest
D. Machine Reverse Fly, 3 sets, 6–8 reps, 3:00 rest


## Legs
A. Barbell Squat, 3 sets, 4–6 reps, 3:00 rest
B. Romanian Deadlift, 3 sets, 4–6 reps, 3:00 rest
C. Leg Press, 3 sets, 6–8 reps, 3:00 rest
D. Dumbbell Lunge, 3 sets, 6–8 reps, 3:00 rest
