---
folder: Phase 4 (weeks 28-35)
---


## Push
A. Incline Dumbbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
B. Barbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
C. Incline Barbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
D. Triceps Pushdown, 3 sets, 6–8 reps, 3:00 rest


## Pull
A. Barbell Deadlift, 3 sets, 4–6 reps, 3:00 rest
B. One-Arm Dumbbell Row, 3 sets, 4–6 reps, 3:00 rest
C. Lat Pulldown (Close-Grip), 3 sets, 6–8 reps, 3:00 rest
D. Alternating Dumbbell Curl, 3 sets, 6–8 reps, 3:00 rest


## Upper
A. Arnold Dumbbell Press, 3 sets, 4–6 reps, 3:00 rest
B. Seated Cable Row (Close-Grip), 3 sets, 6–8 reps, 3:00 rest
C. Dip, 3 sets, 4–6 reps, 3:00 rest
D. Dumbbell Rear Lateral Raise, 3 sets, 6–8 reps, 3:00 rest


## Legs
A. Barbell Squat, 3 sets, 4–6 reps, 3:00 rest
B. Romanian Deadlift, 3 sets, 4–6 reps, 3:00 rest
C. Barbell Front Squat, 3 sets, 4–6 reps, 3:00 rest
D. Dumbbell Bulgarian Split Squat, 3 sets, 6–8 reps, 3:00 rest
