---
folder: Phase 5 (weeks 37-44)
---

## Push
A. Barbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
B. Incline Barbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
C. Dumbbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
D. Skullcrusher, 3 sets, 6–8 reps, 3:00 rest


## Pull
A. Barbell Deadlift, 3 sets, 4–6 reps, 3:00 rest
B. Seated Cable Row (Close-Grip), 3 sets, 4–6 reps, 3:00 rest
C. Chin-up, 3 sets, 4–6 reps, 3:00 rest
D. E-Z Bar Curl, 3 sets, 6–8 reps, 3:00 rest


## Upper
A. Seated Dumbbell Press, 3 sets, 4–6 reps, 3:00 rest
B. One-Arm Dumbbell Row, 3 sets, 4–6 reps, 3:00 rest
C. Close-Grip Bench Press, 3 sets, 4–6 reps, 3:00 rest
D. Dumbbell Side Lateral Raise, 3 sets, 6–8 reps, 3:00 rest


## Legs
A. Barbell Squat, 3 sets, 4–6 reps, 3:00 rest
B. Romanian Deadlift, 3 sets, 4–6 reps, 3:00 rest
C. Leg Press, 3 sets, 6–8 reps, 3:00 rest
D. Dumbbell Lunge, 3 sets, 6–8 reps, 3:00 rest
