---
folder: Phase 6 (weeks 46-53)
---

## Push
A. Incline Barbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
B. Dumbbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
C. Incline Dumbbell Bench Press, 3 sets, 4–6 reps, 3:00 rest
D. Seated Triceps Press, 3 sets, 6–8 reps, 3:00 rest


## Pull
A. Barbell Deadlift, 3 sets, 4–6 reps, 3:00 rest
B. Barbell Row, 3 sets, 4–6 reps, 3:00 rest
C. Pull-up, 3 sets, 4–6 reps, 3:00 rest
D. Dumbbell Hammer Curl, 3 sets, 6–8 reps, 3:00 rest


## Upper
A. Arnold Dumbbell Press, 3 sets, 4–6 reps, 3:00 rest
B. Seated Cable Row (Wide-Grip), 3 sets, 6–8 reps, 3:00 rest
C. Dip, 3 sets, 4–6 reps, 3:00 rest
D. Machine Reverse Fly, 3 sets, 6–8 reps, 3:00 rest


## Legs
A. Barbell Squat, 3 sets, 4–6 reps, 3:00 rest
B. Romanian Deadlift, 3 sets, 4–6 reps, 3:00 rest
C. Barbell Front Squat, 3 sets, 4–6 reps, 3:00 rest
D. Dumbbell Bulgarian Split Squat, 3 sets, 6–8 reps, 3:00 rest
